"","id_numeric","chinook_hab","chinook_km","chum_hab","chum_km","coho_hab","coho_km","pink_hab","pink_km","sockeye_hab","sockeye_km"
"12",19010210,0.000764120597439721,5.85282121385,0.0611502641829744,468.383609396,0.150905179909761,1155.86602588,0.0742225812614593,568.511697773,0.0126110587566969,96.5950564186
"13",19010211,0.000904236736101319,6.9809066165,0.0765983175120411,591.355869745,0.105279704541305,812.782490108,0.0831802072657262,642.169507254,0.00990483564827168,76.4675111636
"14",19010212,6.59938068798807e-06,0.0487017071494,0.063343963548881,467.461919276,0.0854165817208414,630.352080801,0.0670318022159805,494.677206175,0.0111258834665242,82.1061163135
"15",19010301,0.00347981198097044,21.1716916176,0.0309748494130697,188.455572675,0.0532372273507439,323.903178163,0.0268698857738551,163.480365754,0.0116561299712555,70.9176215714
"16",19010303,0.0222369306676139,164.79790541,0.0271129914655802,200.934394666,0.0671303761222846,497.50325437,0.0155622542994683,115.331875174,0.0222755905214439,165.084413608
"17",19010304,0.0226962736480578,112.469012961,0.0215037277345394,106.559476273,0.0522521398517319,258.930020203,0.0202305328401961,100.250291986,0.0414749346544383,205.524705753
"18",19010402,0.00913779470225194,122.059869108,0.00469060267441101,62.6556370691,0.079596168451597,1063.22129346,0.00653857433782597,87.3402778059,0.0238219780528229,318.206702795
"19",19010404,0.0143211378244821,195.521721776,0.00148241791082547,20.238957677,0.020184318149305,275.569768673,0.00139128294637697,18.9947223808,0.0177765187771398,242.696886315
"20",19010405,0.0154556807916617,257.952532602,0.00942682269389494,157.331975282,0.0815956024321214,1361.81592906,0.0133716979864678,223.171234402,0.0263520833078497,439.811530804
"21",19010406,0.0150363153696746,61.5308916585,0.0136978369127504,56.0536340395,0.0267655050169612,109.528521376,0.0119453520686696,48.8821992549,0.0211891481961978,86.7092203071
"22",19020104,0.0101841599106291,141.651940578,0.00378560892079786,52.6542056101,0.0528790892298543,735.497642529,0.00808933780218787,112.514965174,0.0462351929700453,643.08738911
"23",19020201,0.00235747117632172,33.5596126573,0.0242212514291342,344.799895838,0.0183279459038989,260.90616569,0.0355724143466469,506.388565319,0.00903544360733509,128.623412534
"24",19020202,0.00592312666782993,48.455283111,0.0146724840308499,120.031092956,0.0208572137167868,170.626470145,0.0260354300657576,212.987870343,0.0130319311952651,106.610233237
"25",19020301,0.061779005468171,466.909675462,0.0178067199411718,134.578563798,0.129535786825833,978.997828295,0.0525210982530675,396.940817587,0.039164930518748,295.998371282
"26",19020302,0.0544044878524011,625.518814225,0.0213794702286104,245.811722416,0.107137747158126,1231.82257947,0.0367486197872421,422.519427737,0.066594234967123,765.671152054
"27",19020401,0.0647378531181205,253.058177245,0.0309489011237331,120.978255053,0.134520151621093,525.834928598,0.0330743487265847,129.286561095,0.0641900981603893,250.917020804
"28",19020402,0.0180884455507283,157.776121216,0.024401480596091,212.841448956,0.0323452906569567,282.131180656,0.00476272258772775,41.5427569059,0.0264960911366477,231.111649434
"29",19020501,0.025844141733895,422.2809774,0.00775328639972058,126.685010191,0.0123656484886463,202.048811825,0.0078892966979851,128.907353741,0.00559033309598167,91.3433824992
"30",19020502,0.0608922710611102,408.943265046,0.0343043471728736,230.382797253,0.0747056060352256,501.711529508,0.0193209032947701,129.756258706,0.0450179565769322,302.333774508
"31",19020503,0.0636007914388602,335.916047767,0.042226813920994,223.026539784,0.0659304110990736,348.220244167,0.0183334869096569,96.8307520261,0.044337772353803,234.175847799
"32",19020504,0.0952408289630135,1511.77136798,0.0403072179068678,639.802263567,0.112825432740583,1790.89431134,0.0414044355274,657.218556571,0.0825446208205119,1310.24263119
"33",19020505,0.209050277281322,1914.09581752,0.0651893729226167,596.883714677,0.270496623072765,2476.70781216,0.0960334574625234,879.296797218,0.0863307376617186,790.457233689
"34",19020601,0.0674569649398163,775.815415551,0.017792669220823,204.631605908,0.110897589951394,1275.42144697,0.0431554913278516,496.326739095,0.0663309034008551,762.86470095
"35",19020602,0.00860483646003458,76.3231555021,0.044085058307934,391.025532697,0.051131162719672,453.523050831,0.0311324418230575,276.138449517,0.025817198855387,228.993321607
"36",19020701,0.00640383689186253,148.198554634,0.0301018640666383,696.621856833,0.0537932268138971,1244.89092985,0.0608089667354455,1407.25023625,0.0227293067792182,526.00502939
"37",19020702,0.000889076031947547,18.5626292259,0.0480465263596169,1003.14238868,0.0230613439375307,481.487703617,0.0627445890517118,1310.01680469,0.0236601498470272,493.989910039
"38",19030101,0.0166823091012415,444.200810216,0.0467706829138691,1245.36568161,0.0282227887908831,751.489831017,0.0400958646812699,1067.63491011,0.0338005734023384,900.009824777
"39",19030201,0.0750681142620062,617.678080869,0.0762787811034512,627.639732078,0.0948063058381891,780.088558506,0.0395608158406422,325.51568727,0.092583727139612,761.800658795
"40",19030202,0.097338883746577,1085.88810955,0.0663512730310336,740.198116772,0.104766288143121,1168.74636525,0.0516633843637901,576.343724321,0.112847243083449,1258.89546647
"41",19030203,0.0716980719454337,515.174839077,0.0610585509099954,438.726290482,0.0936656495207514,673.01929619,0.0282807899434122,203.207018163,0.1190222866455,855.215289692
"42",19030204,0.0537430423470272,521.755620185,0.0408485433434515,396.571465534,0.0655953900362046,636.82221763,0.0251916845188119,244.569388066,0.0686038335426854,666.029204041
"43",19030206,0.0465612377861212,862.800906091,0.0450485990541045,834.771022638,0.0709651749250758,1315.01695697,0.0171611883059041,318.004621955,0.0773841102302155,1433.96274666
"44",19030301,0.101140557836764,1317.28036217,0.0599297095860388,780.539787764,0.167307428148101,2179.05451837,0.0401650551986293,523.119899576,0.0786527362559704,1024.3932515
"45",19030302,0.141520140818978,1573.65657101,0.0928560293627909,1032.52794916,0.179874970230729,2000.14942909,0.0546542387385825,607.736831145,0.0943043109533914,1048.63235542
"46",19030303,0.11766637113798,918.899225728,0.0821433432762321,641.487060451,0.156955968349506,1225.72589258,0.0629531035508756,491.623541634,0.0897774934011764,701.104898335
"47",19030304,0.0388205754466625,137.492720899,0.0324445663289339,114.910499178,0.0738090316997665,261.413038796,0.0327443223628107,115.972159708,0.13211183040903,467.906897744
"48",19030305,0.0653396187764174,807.941286975,0.0764690931958376,945.560116931,0.0773077413423411,955.930218188,0.0440743639220672,544.990910211,0.0869058310108803,1074.61307959
